location,interval,priority
51081,500,low
51089,500,low
51091,360,high
51099,360,high
51101,360,high
51109,360,high
51111,360,high
51119,360,high
51131,360,high
51139,360,high
51199,360,high
52009,360,high
52011,360,high
52019,360,high
52021,360,high
52029,360,high
52031,360,high
52039,360,high
52049,360,high
52051,360,high
52059,360,high
52061,360,high
52069,360,high
52071,360,high
52079,360,high
52081,360,high
52089,360,high
52099,360,high
52109,360,high
52119,360,high
52129,360,high
52131,360,high
52139,360,high
52141,360,high
52149,360,high
52151,360,high
52159,360,high
52161,360,high
52169,360,high
52171,360,high
52179,360,high
52181,360,high
52189,360,high
52191,360,high
52199,360,high
52201,360,high
52209,360,high
52211,360,high
52219,360,high
52221,500,low
52229,500,low
52231,360,high
52239,360,high
52241,500,low
52249,500,low
52251,360,high
52259,360,high
52261,360,high
52269,360,high
52271,360,high
52279,360,high
52281,500,low
52289,500,low
52291,500,low
52299,500,low
52301,500,low
52309,500,low
52311,360,high
52319,360,high
52321,360,high
52329,360,high
52331,360,high
52339,360,high
52341,500,low
52349,500,low
52351,360,high
52359,500,low
52361,360,high
52369,360,high
52371,500,low
52381,500,low
52389,500,low
52391,500,low
52399,500,low
52401,360,high
52409,500,low
52411,360,high
52419,500,low
52421,500,low
52429,500,low
52431,500,low
52439,500,low
52441,360,high
52449,360,high
52451,360,high
52479,500,low
52481,500,low
52489,500,low
52499,360,high
52501,360,high
52509,360,high
52529,500,low
52531,500,low
52539,500,low
52551,500,low
52559,500,low
52561,500,low
52569,500,low
52571,500,low
52579,500,low
52581,500,low
53609,360,high
53011,360,high
53019,360,high
53021,360,high
53029,360,high
53039,360,high
53041,360,high
53049,360,high
53051,360,high
53059,360,high
53061,360,high
53069,360,high
53071,360,high
53079,360,high
53081,360,high
53089,360,high
53091,360,high
53099,360,high
53111,500,low
53119,500,low
53121,360,high
53129,360,high
53131,360,high
53139,360,high
53141,360,high
53149,360,high
53151,360,high
53159,360,high
53161,360,high
53169,360,high
53171,500,low
53179,360,high
53181,500,low
53189,500,low
53191,500,low
53199,500,low
53201,500,low
53209,500,low
53211,360,high
53219,360,high
53221,360,high
53229,360,high
53231,360,high
53239,360,high
53241,360,high
53249,360,high
53251,360,high
53259,500,low
53261,500,low
53269,500,low
53271,360,high
53279,360,high
53281,360,high
53289,360,high
53291,500,low
53299,500,low
53301,500,low
53309,500,low
53311,500,low
53319,500,low
53321,360,high
53329,360,high
53331,360,high
53339,360,high
53341,360,high
53349,360,high
53351,360,high
53359,360,high
53361,360,high
53369,360,high
53371,360,high
53379,360,high
53381,360,high
53389,360,high
53391,360,high
53399,360,high
53401,500,low
53409,500,low
53419,500,low
53421,500,low
53439,500,low
53509,500,low
53519,500,low
53609,360,high
50011,360,high
50019,360,high
50031,360,high
50039,360,high
50041,360,high
50049,360,high
50051,360,high
50059,360,high
50061,360,high
50069,360,high
50071,360,high
50079,360,high
50081,360,high
