BusStopCode,interval,priority
12199,450,low
12201,450,low
12209,450,low
12211,450,low
13011,300,high
13019,300,high
13021,300,high
13029,300,high
13031,450,low
13039,450,low
13041,450,low
13049,450,low
13051,300,high
13059,300,high
13062,300,high
13063,450,low
13069,300,high
13071,300,high
13079,300,high
13081,300,high
13089,300,high
13091,300,high
13099,300,high
13101,300,high
13109,300,high
13119,300,high
13121,300,high
13141,300,high
13159,300,high
13169,450,low
13171,450,low
13179,450,low
13181,450,low
13189,450,low
13191,300,high
13199,300,high
13201,450,low
13209,450,low
14009,300,high
14011,300,high
14019,300,high
14021,300,high
14029,300,high
14031,300,high
14039,300,high
14041,300,high
14049,300,high
14051,300,high
14059,300,high
14061,300,high
14069,300,high
14071,300,high
14081,300,high
14089,300,high
14101,300,high
14109,300,high
14119,300,high
14121,300,high
14129,300,high
14131,300,high
14139,300,high
14141,300,high
14151,300,high
14159,300,high
14161,300,high
14169,300,high
14171,300,high
14179,300,high
14189,300,high
14191,300,high
14199,300,high
14201,300,high
14209,300,high
14211,300,high
14219,300,high
14221,300,high
14229,300,high
14231,300,high
14239,300,high
14241,300,high
14249,300,high
14259,450,low
14269,450,low
14271,300,high
14279,300,high
14281,300,high
14291,300,high
14299,300,high
14309,450,low
14319,450,low
14329,450,low
14331,450,low
14339,300,high
14341,450,low
14349,300,high
14351,450,low
14359,450,low
14369,300,high
14379,300,high
14381,300,high
14389,300,high
14391,450,low
14399,450,low
14471,300,high
14489,450,low
14491,450,low
14499,450,low
14501,450,low
14509,450,low
14519,450,low
14521,450,low
14529,450,low
14539,450,low
15041,300,high
15049,300,high
15051,300,high
15059,300,high
15071,450,low
15079,450,low
15091,450,low
15099,450,low
15101,450,low
15109,450,low
15111,450,low
15119,450,low
15121,450,low
15129,450,low
15131,300,high
15139,300,high
15141,300,high
15149,300,high
15151,300,high
15159,300,high
15161,300,high
15169,300,high
15181,300,high
15189,450,low
15191,300,high
15199,300,high
15201,300,high
15209,300,high
15211,450,low
15219,300,high
15221,300,high
15229,300,high
16009,300,high
16011,300,high
16019,300,high
16021,300,high
16029,300,high
16031,300,high
16039,300,high
16041,300,high
16049,300,high
16051,300,high
16059,300,high
16061,300,high
16069,300,high
16071,300,high
16079,300,high
16081,300,high
16089,300,high
16091,300,high
16099,300,high
16101,450,low
16109,450,low
16111,450,low
16119,450,low
16121,450,low
16131,300,high
16139,450,low
16141,300,high
16149,300,high
16151,300,high
16159,300,high
16161,450,low
16169,300,high
16171,450,low
16179,300,high
16181,450,low
16189,300,high
16191,450,low
16199,300,high
16201,300,high
16209,300,high
16211,450,low
16219,450,low
16221,450,low
16229,450,low
16231,450,low
16239,450,low
16241,450,low
16249,450,low
16891,450,low
16991,450,low
17009,300,high
17011,300,high
17019,300,high
17021,300,high
17029,300,high
17031,300,high
17039,300,high
17041,300,high
17049,300,high
17051,300,high
17059,300,high
17061,300,high
17069,300,high
17071,300,high
17079,300,high
17081,450,low
17089,450,low
17091,300,high
17099,300,high
17101,300,high
17109,300,high
17111,300,high
17119,300,high
17121,300,high
17129,300,high
17131,300,high
17139,300,high
17141,300,high
17149,300,high
17151,300,high
17159,300,high
17161,300,high
17169,300,high
17171,300,high
17179,300,high
17181,300,high
17189,300,high
17191,300,high
17201,450,low
17211,450,low
17219,450,low
17221,300,high
17229,300,high
17239,300,high
17241,300,high
17249,450,low
17251,300,high
17259,300,high
17269,450,low
17279,450,low
17289,450,low
17291,450,low
17299,450,low
17301,450,low
17309,450,low
17311,450,low
17319,450,low
17321,450,low
17329,450,low
17331,450,low
17339,450,low
17351,450,low
17359,450,low
17361,450,low
17369,450,low
17371,450,low
17379,450,low
17381,300,high
17389,300,high
18011,300,high
18019,300,high
18021,450,low
18029,450,low
18041,300,high
18049,300,high
18051,450,low
18059,450,low
18061,450,low
18069,450,low
18071,300,high
18079,300,high
18081,450,low
18089,450,low
18099,450,low
18101,300,high
18109,300,high
18111,300,high
18119,300,high
18121,300,high
18129,300,high
18131,300,high
18141,300,high
18149,300,high
18151,450,low
18159,450,low
18171,450,low
18179,450,low
18181,450,low
18189,450,low
18191,450,low
18199,450,low
18201,450,low
18211,450,low
18221,450,low
18239,450,low
18241,300,high
18249,450,low
18251,300,high
18261,300,high
18269,450,low
18271,300,high
18279,450,low
18281,300,high
18289,450,low
18301,450,low
18309,450,low
18311,450,low
18319,450,low
18321,450,low
18329,450,low
18331,450,low
18339,450,low
19011,300,high
19019,300,high
19021,300,high
19029,300,high
19031,300,high
19039,300,high
19041,300,high
19049,300,high
19051,300,high
19059,450,low
19061,300,high
19069,450,low
19071,300,high
19079,450,low
19081,300,high
19089,300,high
19091,450,low
19099,450,low
20011,300,high
20019,300,high
20021,300,high
20029,300,high
20031,300,high
20039,300,high
20051,300,high
20059,300,high
20061,300,high
20069,300,high
20081,300,high
20089,300,high
20101,300,high
20109,300,high
20121,300,high
20129,300,high
20131,300,high
20139,300,high
20141,300,high
20149,300,high
20151,450,low
20159,300,high
20161,300,high
20169,300,high
20171,300,high
20179,300,high
20181,300,high
20189,300,high
20191,300,high
20199,300,high
20201,300,high
20209,300,high
20211,300,high
20219,300,high
20231,300,high
20239,300,high
20241,450,low
20249,450,low
20251,300,high
20259,300,high
20261,300,high
20269,300,high
20271,300,high
20281,300,high
20289,300,high
20291,300,high
20299,300,high
20309,450,low
20319,450,low
20329,450,low
20331,450,low
20341,450,low
21011,300,high
21019,300,high
21021,300,high
21029,300,high
21041,300,high
21049,300,high
21051,450,low
21059,450,low
21069,450,low
21071,450,low
21079,300,high
21089,450,low
21099,450,low
21109,450,low
21111,450,low
21119,450,low
21121,450,low
21129,450,low
21131,450,low
21139,450,low
21141,300,high
21149,300,high
21151,300,high
21159,300,high
21161,300,high
21169,450,low
21171,300,high
21179,300,high
21181,300,high
21189,450,low
21191,450,low
21199,450,low
21201,450,low
21209,450,low
21211,300,high
21219,300,high
21229,300,high
21231,300,high
21239,300,high
21241,300,high
21249,450,low
21251,450,low
21259,300,high
21261,300,high
21269,450,low
21271,450,low
21279,450,low
21299,450,low
21309,450,low
21319,450,low
21329,450,low
21339,450,low
21349,450,low
21351,300,high
21359,300,high
21361,300,high
21369,300,high
21371,300,high
21379,300,high
21381,450,low
21389,450,low
21391,300,high
21399,300,high
21409,450,low
21411,450,low
21419,300,high
21421,300,high
21429,300,high
21431,300,high
21439,300,high
21441,300,high
21449,300,high
21451,300,high
21459,300,high
21461,450,low
21469,450,low
21471,450,low
21479,450,low
21481,450,low
21489,450,low
21491,450,low
21499,450,low
21501,450,low
21509,450,low
21511,450,low
21519,450,low
21521,450,low
21529,450,low
21531,450,low
21539,450,low
21541,450,low
21549,450,low
21551,300,high
21559,300,high
21561,300,high
21569,300,high
21571,300,high
21579,300,high
21581,300,high
21589,300,high
21591,300,high
21599,300,high
21601,300,high
21609,300,high
21611,300,high
21619,300,high
21621,450,low
21629,450,low
21631,300,high
21639,300,high
21641,300,high
21649,300,high
21651,300,high
21659,300,high
21661,300,high
21669,300,high
21671,450,low
21679,450,low
21681,300,high
21689,300,high
21691,300,high
21699,300,high
21711,450,low
21719,450,low
21721,450,low
21729,300,high
21751,450,low
21759,450,low
21761,450,low
21769,450,low
21771,300,high
21779,300,high
22009,300,high
22011,450,low
22019,450,low
22021,450,low
22029,450,low
22031,450,low
22039,450,low
22049,450,low
22059,450,low
22069,450,low
22079,450,low
22089,450,low
22161,300,high
22169,300,high
22171,300,high
22179,300,high
22181,300,high
22189,300,high
22191,450,low
22199,450,low
22219,450,low
22221,450,low
22229,450,low
22231,300,high
22239,300,high
22241,450,low
22249,450,low
22251,450,low
22259,450,low
22271,450,low
22281,450,low
22289,450,low
22299,450,low
22309,450,low
22319,450,low
22329,450,low
22331,450,low
22341,300,high
22349,300,high
22351,450,low
22359,450,low
22361,450,low
22369,450,low
22399,450,low
22409,450,low
22411,450,low
22419,450,low
22429,450,low
22431,450,low
22439,450,low
22441,300,high
22449,300,high
22451,300,high
22459,300,high
22461,300,high
22469,300,high
22471,300,high
22479,300,high
22481,300,high
22489,300,high
22491,300,high
22499,300,high
22501,300,high
22509,300,high
22511,300,high
22519,300,high
22521,300,high
22529,300,high
22531,300,high
22539,300,high
22591,300,high
22599,300,high
22609,450,low
23011,450,low
23019,450,low
23021,450,low
23029,450,low
23031,450,low
